experiment_id,learning_rate,epochs,country,pc1_score
exp_017,0.01,1000,Croatia,1.269816359356791
exp_017,0.01,1000,Greece,0.9999913350983063
exp_017,0.01,1000,Slovakia,0.782919645642025
exp_017,0.01,1000,Portugal,0.5263285135578494
exp_017,0.01,1000,Slovenia,0.06734810051501261
exp_017,0.01,1000,Spain,-0.16372000975648338
exp_017,0.01,1000,Czech Republic,-0.16723487429002348
exp_017,0.01,1000,Finland,-0.2104634788575162
exp_017,0.01,1000,United Kingdom,-0.34082891724770525
exp_017,0.01,1000,Germany,-0.5922212022950094
exp_017,0.01,1000,Belgium,-0.6811001398180624
exp_017,0.01,1000,Italy,-0.8531496322593477
exp_017,0.01,1000,Sweden,-0.8848828887320899
exp_017,0.01,1000,Denmark,-0.9551904545359167
exp_017,0.01,1000,Austria,-1.0816072096623257
exp_017,0.01,1000,Iceland,-1.5835098542282204
exp_017,0.01,1000,Ireland,-1.809013511926273
exp_017,0.01,1000,Netherlands,-1.8400829872062063
exp_017,0.01,1000,Norway,-2.1064106722388076
exp_017,0.01,1000,Switzerland,-3.28159058362641
exp_017,0.01,1000,Luxembourg,-3.478416004962411
exp_018,0.01,3000,Ukraine,4.5806188791445095
exp_018,0.01,3000,Bulgaria,2.6098215292236806
exp_018,0.01,3000,Estonia,2.4876841102811467
exp_018,0.01,3000,Latvia,2.3060586462847366
exp_018,0.01,3000,Lithuania,1.530068489380969
exp_018,0.01,3000,Poland,1.4718059426745378
exp_018,0.01,3000,Hungary,1.3968679518371936
exp_018,0.01,3000,Croatia,1.2699342247922814
exp_018,0.01,3000,Greece,1.0001775823692165
exp_018,0.01,3000,Slovakia,0.7829362112710786
exp_018,0.01,3000,Portugal,0.5263897989142706
exp_018,0.01,3000,Slovenia,0.06741709318716343
exp_018,0.01,3000,Spain,-0.16376058275021
exp_018,0.01,3000,Czech Republic,-0.16723401289056994
exp_018,0.01,3000,Finland,-0.2105020479541826
exp_018,0.01,3000,United Kingdom,-0.34081595032999956
exp_018,0.01,3000,Germany,-0.5922927817458934
